station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min
,Spielberg,2003-05-18,Spring,16.1,10.3,21.9,0.2,0.0,,,,,174.0
,Monte-Carlo,2003-06-01,Summer,20.5,17.4,,0.0,,,,,,
,Montreal,2003-06-15,Summer,15.0,11.3,20.1,8.6,0.0,235.0,10.7,,1012.7,
,Nürburg,2003-06-29,Summer,20.9,14.0,26.6,0.1,0.0,201.8,8.4,26.3,1009.1,423.0
,Magny Cours,2003-07-06,Summer,19.3,12.8,24.9,0.0,,127.0,9.2,,1019.6,
,Hockenheim,2003-08-03,Summer,24.8,17.7,31.7,0.0,0.0,208.8,8.2,26.0,1020.8,687.5
12843,Budapest,2003-08-24,Summer,24.1,17.5,29.4,0.0,,,11.1,,1013.2,
,Monza,2003-09-14,Autumn,14.3,10.8,19.2,0.8,,,4.1,,,
72438,Indianapolis,2003-09-28,Autumn,10.0,6.7,13.3,1.8,0.0,272.0,14.4,,1013.7,0.0
,Suzuka,2003-10-12,Autumn,22.2,16.5,25.8,4.2,,342.0,6.0,,1014.7,
,Melbourne,2002-03-03,Spring,22.7,16.6,25.4,4.4,,,12.1,,,
,Kuala Lumpur,2002-03-17,Spring,28.0,24.7,33.0,4.3,,,5.1,,,
83780,São Paulo,2002-03-31,Autumn,25.9,21.0,30.0,,,,8.8,,,
,Imola,2002-04-14,Spring,8.7,5.6,10.5,10.2,316.3,,9.9,,,
,Montmeló,2002-04-28,Spring,18.5,11.4,23.8,0.1,,267.0,9.1,,,
,Spielberg,2002-05-12,Spring,15.3,10.5,21.5,0.9,0.0,,,,,252.0
,Monte-Carlo,2002-05-26,Spring,18.8,13.9,22.6,0.0,,64.0,18.9,,1008.0,
,Montreal,2002-06-09,Summer,15.2,10.9,19.0,5.4,0.0,165.0,19.4,,1017.7,
,Nürburg,2002-06-23,Summer,19.3,14.8,23.7,2.7,0.0,274.5,15.6,45.5,1017.6,535.5
,Magny Cours,2002-07-21,Summer,19.9,14.7,25.8,2.4,,301.3,12.7,,,
,Hockenheim,2002-07-28,Summer,22.4,15.0,28.9,0.0,0.0,110.7,9.5,30.8,1020.2,866.0
12843,Budapest,2002-08-18,Summer,23.8,17.7,29.4,,,41.0,8.7,,1014.2,
,Spa,2002-09-01,Autumn,15.3,,19.7,,,,,,,
,Monza,2002-09-15,Autumn,15.8,11.7,19.6,0.3,,,,,,
72438,Indianapolis,2002-09-29,Autumn,20.6,13.9,26.7,0.0,0.0,,10.8,,1020.4,
,Suzuka,2002-10-13,Autumn,20.2,14.2,25.0,1.5,,3.0,13.4,,1013.1,
,Melbourne,2001-03-04,Spring,22.7,17.9,27.1,3.3,,243.5,15.0,,,
,Kuala Lumpur,2001-03-18,Spring,27.2,23.8,32.5,6.6,,,4.4,,,
83780,São Paulo,2001-04-01,Autumn,23.2,20.0,30.0,,,,7.0,,,
,Imola,2001-04-15,Spring,5.3,0.4,9.0,7.3,503.8,250.0,17.5,,,
,Montmeló,2001-04-29,Spring,15.5,9.8,19.8,4.0,,33.0,9.3,,,
,Spielberg,2001-05-13,Spring,14.5,6.3,21.5,0.0,0.0,,7.2,,,666.0
,Monte-Carlo,2001-05-27,Spring,21.7,19.4,24.6,0.0,,83.0,9.3,,1021.7,
,Montreal,2001-06-10,Summer,15.8,10.4,20.9,0.8,0.0,239.0,22.9,,1008.0,
,Nürburg,2001-06-24,Summer,16.7,9.9,23.3,0.0,0.0,255.5,10.8,27.9,1021.0,584.0
,Magny Cours,2001-07-01,Summer,21.0,14.7,26.8,0.0,,227.1,13.0,,1025.4,
,Hockenheim,2001-07-29,Summer,21.3,16.9,27.3,0.2,0.0,313.1,9.8,31.1,1020.5,546.0
12843,Budapest,2001-08-19,Summer,27.0,19.6,32.4,,,,,,,
,Spa,2001-09-02,Autumn,14.3,10.6,16.5,,,,,,,
,Monza,2001-09-16,Autumn,13.3,9.7,16.3,6.6,,,,,,
72438,Indianapolis,2001-09-30,Autumn,15.0,7.8,22.2,0.0,0.0,,10.8,,1025.2,
,Suzuka,2001-10-14,Autumn,18.5,17.2,23.9,2.8,,9.0,8.6,,1016.8,
,Melbourne,2000-03-12,Spring,22.0,18.3,26.0,3.8,,,,,,
83780,São Paulo,2000-03-26,Autumn,21.2,19.7,25.1,0.0,,,,,,
,Imola,2000-04-09,Spring,7.3,4.1,9.7,21.2,863.7,,,,,
,Montmeló,2000-05-07,Spring,16.9,12.7,21.6,6.3,,,,,,
,Nürburg,2000-05-21,Spring,11.7,5.5,16.1,3.5,0.0,228.4,8.4,36.4,1008.5,348.5
,Monte-Carlo,2000-06-04,Summer,22.9,19.9,24.9,0.0,,71.0,8.1,,,
,Montreal,2000-06-18,Summer,15.5,10.2,20.9,0.8,0.0,247.0,20.1,,1011.1,
,Magny Cours,2000-07-02,Summer,21.6,15.9,28.5,2.9,,183.0,11.3,,1010.8,
,Spielberg,2000-07-16,Summer,12.6,9.7,16.9,3.5,0.0,,,,,54.0
,Hockenheim,2000-07-30,Summer,16.5,13.3,20.0,1.7,0.0,276.9,12.9,33.7,1020.1,97.0
12843,Budapest,2000-08-13,Summer,26.6,20.0,34.6,,,,,,,
,Spa,2000-08-27,Summer,17.5,,22.3,1.0,,,,,,
,Monza,2000-09-10,Autumn,18.5,13.7,22.3,28.7,,,35.8,,,
72438,Indianapolis,2000-09-24,Autumn,15.0,12.8,17.2,5.8,0.0,39.0,17.6,,1014.4,0.0
,Suzuka,2000-10-08,Autumn,20.5,17.0,23.3,7.2,,7.0,6.4,,1020.8,
,Kuala Lumpur,2000-10-22,Autumn,27.4,24.4,32.1,14.1,,,4.5,,,
,Melbourne,1999-03-07,Spring,22.2,16.3,23.4,2.2,,,12.8,,,
83780,São Paulo,1999-04-11,Autumn,19.8,16.5,,,,,,,,
,Imola,1999-05-02,Spring,15.4,5.9,12.8,0.2,,,,,,
,Monte-Carlo,1999-05-16,Spring,18.9,17.0,21.6,0.0,,,11.4,,1010.3,
,Montmeló,1999-05-30,Spring,22.2,14.9,26.5,0.1,,,11.3,,,
,Montreal,1999-06-13,Summer,18.8,10.5,23.0,2.1,0.0,247.0,15.9,,1022.5,
,Magny Cours,1999-06-27,Summer,17.4,14.9,22.3,4.4,,242.0,15.7,,,
,Spielberg,1999-07-25,Summer,16.8,11.3,24.2,0.0,0.0,,3.8,,,720.0
,Hockenheim,1999-08-01,Summer,22.7,14.5,29.4,0.0,0.0,83.2,11.5,37.8,1017.5,807.5
12843,Budapest,1999-08-15,Summer,19.9,11.9,27.0,0.0,,198.0,7.5,,1010.9,
,Spa,1999-08-29,Summer,18.6,12.9,22.8,0.0,,,,,,
,Monza,1999-09-12,Autumn,19.0,10.9,19.4,0.9,,,,,,
,Nürburg,1999-09-26,Autumn,14.6,12.6,18.3,3.7,0.0,193.1,11.5,33.7,1005.6,55.0
,Kuala Lumpur,1999-10-17,Autumn,27.4,23.6,32.0,6.6,,,,,,
,Suzuka,1999-10-31,Autumn,17.0,11.4,19.4,0.0,,20.0,12.1,,1022.4,
,Melbourne,1998-03-08,Spring,21.1,15.7,24.3,6.2,,311.0,15.9,,1007.4,
83780,São Paulo,1998-03-29,Autumn,23.0,,,,,,,,,
87582,Buenos Aires,1998-04-12,Autumn,18.8,,,,,,,,,
,Imola,1998-04-26,Spring,13.5,3.5,14.2,0.7,71.0,180.0,9.5,,1015.0,
,Montmeló,1998-05-10,Spring,19.8,14.0,23.6,3.9,,,,,,
,Monte-Carlo,1998-05-24,Spring,19.1,,,0.0,,,,,,
,Montreal,1998-06-07,Summer,12.9,9.5,20.1,0.0,0.0,201.0,12.0,,1016.0,
,Magny Cours,1998-06-28,Summer,18.6,13.2,23.3,0.9,,,13.0,,1018.6,
,Spielberg,1998-07-26,Summer,20.6,15.3,26.8,0.3,0.0,,5.9,,1016.4,690.0
,Hockenheim,1998-08-02,Summer,16.4,14.1,20.2,0.7,0.0,222.6,9.4,26.5,1019.3,90.0
12843,Budapest,1998-08-16,Summer,25.6,,,,,,,,,
,Spa,1998-08-30,Summer,14.7,10.0,17.0,0.8,,,,,,
,Monza,1998-09-13,Autumn,14.1,5.7,12.4,11.2,,273.0,39.0,,,
,Nürburg,1998-09-27,Autumn,15.2,12.3,19.5,2.2,0.0,145.6,9.1,27.3,1003.1,165.5
,Suzuka,1998-11-01,Autumn,17.5,16.0,21.5,4.5,,350.0,6.8,,1014.6,
,Melbourne,1997-03-09,Spring,16.8,16.1,22.9,0.0,,,,,,
83780,São Paulo,1997-03-30,Autumn,19.0,15.8,23.0,0.0,,,,,,
87582,Buenos Aires,1997-04-13,Autumn,23.1,17.9,,0.0,,,,,,
,Imola,1997-04-27,Spring,10.2,2.0,8.5,14.8,,,,,,
,Monte-Carlo,1997-05-11,Spring,15.3,12.9,18.7,0.0,,,,,,
,Montmeló,1997-05-25,Spring,20.4,15.9,23.5,4.4,,,,,,
,Montreal,1997-06-15,Summer,16.6,11.3,21.1,0.1,0.0,282.5,17.4,,1006.4,
,Magny Cours,1997-06-29,Summer,15.3,12.6,19.0,8.9,,,6.2,,1004.1,
